Tanggal,QTY
1/2/2017,700
1/3/2017,591
1/4/2017,435.5
1/5/2017,715
1/7/2017,90
1/9/2017,878.3
1/10/2017,98.05
1/11/2017,173.5
1/14/2017,50
1/16/2017,267
1/17/2017,1240
1/18/2017,10
1/19/2017,710
1/20/2017,25
1/21/2017,5.5
1/22/2017,500
1/23/2017,10
1/24/2017,420.5
1/25/2017,65.05
1/26/2017,355
1/27/2017,30.1
1/29/2017,1150
1/30/2017,573
1/31/2017,65
2/1/2017,925
2/2/2017,52
2/3/2017,20
2/4/2017,7.5
2/5/2017,75
2/6/2017,450
2/7/2017,450
2/8/2017,65.5
2/9/2017,85
2/11/2017,531.5
2/12/2017,1445
2/13/2017,24
2/14/2017,3
2/16/2017,291
2/17/2017,16
2/18/2017,25
2/19/2017,610
2/20/2017,4
2/21/2017,520
2/22/2017,851
2/23/2017,750
2/24/2017,12
2/25/2017,31.45
2/27/2017,57
2/28/2017,2145
3/1/2017,10
3/2/2017,1011
3/3/2017,16.8
3/4/2017,38.5
3/5/2017,2
3/6/2017,148.6
3/7/2017,260
3/8/2017,325.8
3/9/2017,497.7
3/10/2017,20.1
3/11/2017,144.5
3/12/2017,1265
3/13/2017,55.55
3/14/2017,72.15
3/15/2017,86.5
3/16/2017,196.6
3/17/2017,350
3/18/2017,22.5
3/19/2017,530.5
3/20/2017,414
3/21/2017,449.5
3/22/2017,774.15
3/23/2017,438.5
3/24/2017,40.5
3/25/2017,161
3/26/2017,625
3/27/2017,306
3/28/2017,1440
3/29/2017,1042.5
3/30/2017,859
3/31/2017,1162.6
4/1/2017,320.5
4/2/2017,1237.5
4/3/2017,1223.1
4/4/2017,1095
4/5/2017,504.5
4/6/2017,397
4/7/2017,305
4/8/2017,149
4/9/2017,992.5
4/10/2017,270.75
4/11/2017,260.5
4/12/2017,1707.65
4/13/2017,213.5
4/14/2017,2
4/15/2017,261.15
4/16/2017,188.5
4/17/2017,180
4/18/2017,1197.5
4/19/2017,588
4/20/2017,73.5
4/21/2017,37.5
4/22/2017,299
4/23/2017,270
4/24/2017,7
4/25/2017,678.55
4/26/2017,522
4/27/2017,1485.15
4/28/2017,700
4/29/2017,322
4/30/2017,46.5
5/1/2017,6
5/2/2017,57
5/3/2017,972
5/4/2017,262
5/5/2017,1197.5
5/6/2017,1200
5/7/2017,2297
5/8/2017,505
5/9/2017,1000
5/10/2017,515
5/11/2017,1412.5
5/12/2017,33
5/13/2017,360.5
5/14/2017,740
5/15/2017,1015.5
5/16/2017,1220.5
5/17/2017,1005
5/18/2017,1185
5/19/2017,755
5/20/2017,277
5/21/2017,1306
5/22/2017,857.05
5/23/2017,943.5
5/24/2017,1315.35
5/25/2017,1065
5/26/2017,367.3
5/27/2017,864.5
5/28/2017,1184
5/29/2017,965.5
5/30/2017,1406
5/31/2017,1739
6/1/2017,750
6/2/2017,112.5
6/3/2017,647.65
6/4/2017,915.5
6/5/2017,906.5
6/6/2017,638
6/7/2017,703.05
6/8/2017,545.25
6/9/2017,416.9
6/10/2017,1148.05
6/11/2017,1320.05
6/12/2017,826.25
6/13/2017,842
6/14/2017,584.9
6/15/2017,872.95
6/16/2017,638
6/17/2017,183.5
6/18/2017,7
6/19/2017,356.2
6/20/2017,406.2
6/21/2017,108
6/22/2017,12.3
7/1/2017,207.5
7/6/2017,450
7/8/2017,105
7/9/2017,500
7/10/2017,310
7/11/2017,100
7/12/2017,575
7/13/2017,935
7/15/2017,510
7/17/2017,957
7/18/2017,351
7/19/2017,1140.95
7/20/2017,50
7/23/2017,10
7/24/2017,765
7/25/2017,316
7/26/2017,525
7/27/2017,5
7/30/2017,310
7/31/2017,135
8/1/2017,855
8/3/2017,1567
8/7/2017,365
8/8/2017,5
8/9/2017,533
8/12/2017,90.25
8/13/2017,615
8/14/2017,35
8/15/2017,605
8/19/2017,333
8/20/2017,655
8/23/2017,32.5
8/24/2017,775
8/26/2017,45
8/28/2017,85
8/29/2017,85
8/30/2017,30
8/31/2017,5
9/4/2017,550
9/5/2017,2.5
9/7/2017,15
9/9/2017,35
9/10/2017,175
9/11/2017,565
9/12/2017,50
9/13/2017,35
9/14/2017,1260
9/19/2017,50
9/23/2017,155
9/24/2017,45
9/25/2017,36.5
9/27/2017,15
9/28/2017,3
9/29/2017,460
9/30/2017,140
10/2/2017,65
10/5/2017,300
10/9/2017,20
10/10/2017,5
10/12/2017,175
10/17/2017,375
10/19/2017,450
10/22/2017,13
10/24/2017,950
10/25/2017,515
10/26/2017,1150
10/27/2017,450
10/30/2017,55
10/31/2017,1305
11/2/2017,27
11/6/2017,5
11/7/2017,18.5
11/8/2017,35
11/9/2017,60
11/13/2017,35
11/14/2017,555
11/15/2017,675
11/16/2017,20
11/20/2017,135
11/23/2017,525
11/26/2017,50
11/27/2017,130
11/29/2017,1505
11/30/2017,75
12/3/2017,400
12/4/2017,65
12/5/2017,15
12/7/2017,5
12/9/2017,450
12/10/2017,25
12/12/2017,458.5
12/13/2017,450
12/14/2017,417
12/16/2017,455
12/17/2017,15
12/20/2017,325
12/21/2017,285
12/25/2017,495
12/26/2017,300
12/27/2017,1030
12/28/2017,875
1/2/2018,705
1/3/2018,145
1/4/2018,212
1/6/2018,50
1/7/2018,180
1/9/2018,295
1/10/2018,300
1/12/2018,735
1/13/2018,1030
1/14/2018,642.5
1/15/2018,95.5
1/16/2018,495
1/17/2018,465.25
1/18/2018,94
1/20/2018,5
1/22/2018,55
1/23/2018,500
1/24/2018,255
1/25/2018,1830
1/28/2018,105
1/29/2018,50
2/1/2018,15
2/4/2018,130
2/5/2018,60
2/6/2018,330
2/7/2018,277.5
2/8/2018,80
2/10/2018,730
2/12/2018,275.5
2/13/2018,125
2/17/2018,40
2/18/2018,820
2/19/2018,255
2/20/2018,430
2/21/2018,45
2/22/2018,800
2/24/2018,15
2/25/2018,425
2/26/2018,575
2/27/2018,1260
2/28/2018,622
3/1/2018,890
3/2/2018,600
3/3/2018,250
3/4/2018,1045.5
3/5/2018,795
3/6/2018,160
3/7/2018,780
3/8/2018,135
3/9/2018,730
3/10/2018,10.05
3/11/2018,715
3/12/2018,104.5
3/13/2018,735
3/14/2018,75
3/15/2018,825
3/17/2018,680
3/18/2018,223.5
3/19/2018,245
3/20/2018,834
3/21/2018,1164
3/22/2018,120
3/23/2018,245
3/24/2018,95
3/25/2018,555.5
3/26/2018,600
3/27/2018,704.5
3/28/2018,868
3/30/2018,470
3/31/2018,950
4/1/2018,396
4/2/2018,97
4/3/2018,301
4/4/2018,831
4/5/2018,50
4/6/2018,346
4/7/2018,80
4/8/2018,505
4/9/2018,590
4/10/2018,975.05
4/11/2018,2280
4/12/2018,720
4/15/2018,1695
4/16/2018,202
4/17/2018,1220
4/18/2018,870
4/19/2018,683
4/20/2018,605
4/22/2018,646
4/23/2018,190
4/24/2018,560
4/25/2018,237
4/26/2018,1515
4/28/2018,210
4/29/2018,725
4/30/2018,986
5/2/2018,270.5
5/3/2018,1082
5/4/2018,405
5/5/2018,446
5/6/2018,390
5/7/2018,1020
5/8/2018,2
5/9/2018,530
5/10/2018,687.5
5/11/2018,30
5/12/2018,663
5/13/2018,211
5/14/2018,792.5
5/15/2018,368
5/16/2018,449
5/17/2018,801
5/19/2018,280
5/20/2018,665
5/21/2018,1540
5/22/2018,566.75
5/23/2018,152.5
5/24/2018,334.55
5/25/2018,5
5/26/2018,550.5
5/27/2018,243.75
5/28/2018,513.5
5/29/2018,389
5/30/2018,313
5/31/2018,676.25
